Card Name,General Description,Central Figure,Supporting Elements,Background Details,Art Style,Text and Borders,Mood and Symbolism,Upright Meaning,Reversed Meaning,Keywords,Symbolism,Variations
8 of Tentacles,"This card represents indulgence and surrender to absolute pleasure, encouraging moments of self-gratification and enjoyment. It suggests leaning into guilty pleasures and embracing them without shame.","A humanoid figure entwined with octopus tentacles, symbolizing a blend of human desires and otherworldly indulgence.","The tentacles represent both pleasure and entanglement, emphasizing the duality of joy and potential consequences. The muted, underwater-like setting enhances the theme of surrendering to desire.","A soft, watery backdrop creates an atmosphere of fluidity and immersion, symbolizing the uncontainable nature of indulgence.","Dark, textured, and illustrative, with a focus on earthy tones and surreal elements that evoke mystery and sensuality.","The card name, '8 of Tentacles,' is written in a playful, handwritten script at the top. The design is bordered by soft, earthy colors.","The card embodies themes of indulgence, passion, and pleasure but also warns against overindulgence. It invites the querent to reflect on the balance between enjoying life and being consumed by desires.","Joy, pleasure, indulgence, surrendering to guilty pleasures.","Overindulgence, dependency on vices for happiness, or the cost of excessive pleasure in terms of personal growth or resources.","['Indulgence', 'Pleasure', 'Passion', 'Overindulgence']",The tentacles symbolize the pull of desire and the risk of entanglement. The underwater setting suggests a loss of control and immersion in feelings or experiences.,"[""The 8 of Tentacles"", ""The 8 Tentacles"", ""8 of Tentacles"", ""Tentacles 8"", ""Eight of Tentacles"", ""The 8 Of Tentacles"", ""The Eight of Tentacles"", ""8 Of Tentacles"", ""8 Tentacles"", ""Tentacles Of 8""]"
3 of Books,"The card is monochromatic, drawn in a classic pen-and-ink style reminiscent of medieval or Renaissance woodcuts. It combines elements of nature with symbols of education and hierarchy.","A central tree of knowledge rises upward, with 3 books hanging from its branches like fruit. An open book displays lines of text, while 2 closed books feature ornate covers and fine hatching. Below the tree, a humanoid wolf figure, dressed in a cloak, holds a pointer stick and tablet with the alphabet, teaching a group of geese or ducks who attentively listen or nibble at the ground.","Grass and foliage surround the base of the tree, grounding the scene. The minimalist sky emphasizes the central elements without distraction.","A surreal combination of animals, books, and natural elements highlights the tension between structure and creativity in learning.","Monochromatic, with a pen-and-ink style that is intricate and detailed, evoking a sense of tradition and history.","The number '3' is written plainly at the top center, identifying the card?s position in its suit. A simple black rectangular border frames the artwork, clean and unembellished.","Themes of education, the passing of knowledge, and the hierarchical structures involved in learning. The wolf-teacher represents authority, while the geese suggest submission or absorption of knowledge.","Taming the 'beasts of our hearts and minds' through learning and discipline. Teaching or being taught, with an emphasis on logic and control.",A warning against teaching inappropriately or treating learners as lesser. Highlights the importance of humility in education and the harm of imposed hierarchies.,"['Education', 'Teaching', 'Discipline', 'Hierarchy', 'Creativity']","The tree of knowledge symbolizes growth and learning, while the books represent the fruits of education. The wolf-teacher reflects authority in teaching, and the geese symbolize the absorption or submission to knowledge.","[""The 3 Of Books"", ""3 of Books"", ""Three of Books"", ""Books 3"", ""The 3 of Books"", ""The 3 Books"", ""3 Books"", ""Books Of 3"", ""The Three of Books"", ""3 Of Books""]"
10 of Eyes,"A haunting depiction of unblinking eyes staring in the sun, representing critical observation and the pain it can bring.","A prone figure covered in unblinking eyes, seemingly melting or roasting under a bright yellow sun.",A minimalist background with a simple sun and a stark horizon; Roman numeral 'II' appears in the lower right corner.,"Bare and bright, focusing attention on the figure and the eyes, emphasizing the discomfort of constant vigilance.","Minimalist and surreal, with clean lines and muted colors except for striking yellow and blue accents.","The title '10 of Eyes' is written at the bottom, bordered by thin black lines framing the illustration.",Themes of self-inflicted pain through over-observation and the inevitability of suffering from constant scrutiny.,Encourages balancing mindfulness with the need to rest and detach; warns against overburdening oneself with the world's pain.,"Represents willful ignorance or avoidance, emphasizing the need to face reality despite discomfort.","['Observation', 'Pain', 'Mindfulness', 'Detachment', 'Ignorance']",The eyes symbolize awareness and scrutiny; the sun represents exposure and harsh reality.,"[""10 Eyes"", ""Eyes 10"", ""10 Of Eyes"", ""Eyes Of 10"", ""10 of Eyes"", ""The 10 of Eyes"", ""The 10 Eyes"", ""The 10 Of Eyes"", ""The Ten of Eyes"", ""Ten of Eyes""]"
2 of Pentacles,"The card features 2 ornate circular designs aligned vertically, connected by symmetrical and flowing decorative patterns.","2 circular designs with vibrant red floral motifs at the center, surrounded by golden rings resembling beaded or chain-like details.","Flourishing, multi-colored decorative patterns extend outward and intertwine symmetrically, connecting the 2 circles.","The background is soft beige, with a thin black rectangular border framing the design.","Highly decorative and traditional, with a focus on symmetry, intricate patterns, and textures reminiscent of illuminated manuscripts.","A thin black rectangular border frames the card, providing a clean and polished feel.","The card evokes balance, richness, and ornate beauty, with an atmosphere of harmony and refinement.","Balance, adaptability, and the ability to juggle multiple priorities or responsibilities.","Imbalance, disorganization, or struggling to manage competing demands.","['Balance', 'Adaptability', 'Flexibility', 'Duality', 'Harmony']","The 2 circles represent balance and adaptability in managing dualities, while the patterns convey interconnectedness.","[""Two of Pentacles"", ""Pentacles Of 2"", ""2 of Pentacles"", ""2 Pentacles"", ""Pentacles 2"", ""The Two of Pentacles"", ""The 2 of Pentacles"", ""The 2 Pentacles"", ""2 Of Pentacles"", ""The 2 Of Pentacles""]"
4 of Coins,"4 brightly colored coins are arranged in a vertical line against a psychedelic background of vivid reds and blues, symbolizing material focus and control.","The 4 coins, intricately designed with geometric patterns, dominate the card.",Flowing abstract lines and shapes in the background suggest energy and movement amidst the coins' stability.,"A vibrant, abstract composition of red, blue, and teal swirls creates a dynamic yet grounded atmosphere.","Psychedelic and modern with bold, saturated colors and intricate geometric designs.","The Roman numeral 'IV' is displayed at the top in green and yellow, while the card has no defined border, allowing the art to extend fully.","The card conveys themes of material control, stability, and a focus on resources.","Material stability, control, frugality, and security.","Greed, stinginess, or loss of control over resources.","['Stability', 'Control', 'Frugality', 'Security', 'Possessiveness']","The coins symbolize material focus and the need for balance between holding on and letting go, while the abstract background hints at the dynamic flow of energy and resources.","[""4 Of Coins"", ""Coins Of 4"", ""The 4 of Coins"", ""The 4 Coins"", ""Coins 4"", ""The Four of Coins"", ""4 Coins"", ""4 of Coins"", ""The 4 Of Coins"", ""Four of Coins""]"
4 of Keys,"This card depicts a wooden door surrounded by 4 ornate keys. It signifies choice, action, and the importance of decision-making, even when unsure.","A sturdy green wooden door with a keyhole, flanked by 4 white decorative keys, symbolizing options and opportunities.","The brick wall surrounding the door reinforces the sense of structure and permanence, while the keys symbolize choices and paths forward.","The door is set against a dark brick wall with orange diagonal accents in the border, adding a sense of energy and movement.","Simple and bold, with clean lines and strong contrasts to emphasize the clarity of the choices depicted.",The title 'IV Keys' is written in white below the door in a serif typeface. The card is bordered by a thin orange line with diagonal accents.,"The mood is contemplative, urging the seeker to take action and trust in their decisions, even when the outcomes are uncertain.","Making choices, taking action, and understanding that movement is progress, even if decisions are imperfect.",A warning about irreversibility; the path chosen cannot be undone. Encourages careful consideration before committing to a course.,"['Choices', 'Action', 'Decision', 'Opportunity', 'Irreversibility']","The keys represent options and the potential to unlock new paths, while the door signifies transition and the weight of decisions.","[""The 4 Keys"", ""The 4 of Keys"", ""Four of Keys"", ""Keys Of 4"", ""The 4 Of Keys"", ""4 Keys"", ""Keys 4"", ""4 Of Keys"", ""The Four of Keys"", ""4 of Keys""]"
5 of Disks,"The card depicts a pixel-art scene of a monk-like figure standing beneath a vibrant stained-glass window. The design contrasts the warmth of the window's light with the cold, isolated surroundings.","A monk-like figure dressed in a simple brown robe, partially obscured, standing in contemplation. The figure?s posture conveys humility and introspection, highlighting themes of spiritual focus.","The large stained-glass window is the focal point, featuring bold symmetrical patterns of reds, yellows, and blues. The window radiates light, symbolizing divinity, hope, and spiritual refuge amidst a harsh, cold environment.",Pixelated stone walls and icy snowbanks create a stark and isolated atmosphere. The contrast between the warmth of the window and the muted surroundings reinforces themes of sanctuary and seeking light in the darkness.,"Rendered in nostalgic pixel-art style, emphasizing simplicity and symbolism over intricate detail. The retro aesthetic evokes timeless themes while feeling modern and approachable.","The card lacks visible text, allowing the imagery to guide interpretation. The lack of border adds an open, expansive quality to the scene.","Themes of isolation, seeking refuge, and finding spiritual light in times of hardship. The stained-glass window symbolizes hope and warmth, while the cold surroundings emphasize the struggle to connect with inner peace.","The 5 of Disks represents hardship, struggle, and the feeling of being left out in the cold, but also the potential to find refuge and hope. It encourages seeking inner or external sanctuary and focusing on spiritual resilience.","The reversal highlights overcoming struggles, finding new resources, or re-establishing a sense of stability. It warns against ignoring opportunities for support or remaining stuck in self-imposed isolation.","['Hardship', 'Refuge', 'Spiritual Resilience', 'Isolation', 'Hope']","The monk-like figure represents introspection and seeking guidance. The stained-glass window symbolizes warmth, hope, and enlightenment, while the cold environment signifies external challenges and isolation.","[""5 Of Disks"", ""Disks Of 5"", ""The 5 Of Disks"", ""The 5 Disks"", ""5 of Disks"", ""The Five of Disks"", ""Five of Disks"", ""The 5 of Disks"", ""5 Disks"", ""Disks 5""]"
5 of Mirrors,"The card features a vibrant and whimsical design with soft pastel tones of pink, purple, and blue dominating the palette. The overall composition is playful yet introspective, evoking a dreamy, surreal mood.","A doll-like character with a deep purple complexion and large, expressive eyes with heart-shaped pupils in red and pink. The character's voluminous candy-colored hair in pastel pink and blue flows outward dramatically, framing their confident, mischievous expression.","The figure holds a small lipstick tube near their mouth, while heart-shaped jewelry adorns their hand. Behind them is a large, heart-shaped mirror frame with a fragmented, shattered effect, blending into the pastel background.","An abstract swirl of pastel colors creates an ethereal atmosphere, while the mirror motif suggests themes of distortion and self-perception.","Vibrant and whimsical with a playful, surreal tone. Soft pastel hues combined with intricate, stylized details add depth to the design.","The title 'The 5 of Mirrors' is written in a delicate serif font at the top, with a metallic thin rectangular frame in silver or gold adding elegance and modernity.","Themes of vanity, self-reflection, and fractured self-perception. The shattered mirror and doll-like character encourage introspection into how 1 views themselves and how others perceive them.","Mirrors reflect hidden meanings and distort the truth, asking what secrets are being kept and for whom. Eventually, the truth is revealed.","Self-infatuation, vanity, and the inability to consider others? thoughts or feelings. Over time, this focus warps and breaks as the truth of how you see yourself is revealed.","['Self-reflection', 'Vanity', 'Introspection', 'Distortion', 'Revelation']","The heart-shaped mirror signifies self-perception and hidden truths, while its shattered effect reflects distortion and the eventual revealing of reality. The lipstick and heart-shaped jewelry emphasize themes of vanity and self-expression.","[""Mirrors Of 5"", ""Mirrors 5"", ""The 5 Of Mirrors"", ""The 5 Mirrors"", ""5 of Mirrors"", ""The Five of Mirrors"", ""The 5 of Mirrors"", ""5 Mirrors"", ""Five of Mirrors"", ""5 Of Mirrors""]"
6 of Inking Balls,"The 6 of Inking Balls represents immersion in work or tasks, often to the point of being overwhelmed. It warns against losing oneself entirely in responsibilities or pursuits without regard for balance. This card invites awareness of how far 1 can go before losing sight of their personal well-being.","A naked figure in a tub interacts with inking balls, symbolizing the blending of creation, effort, and potential loss of self in the process.","6 inking balls float above, emphasizing work, process, and the overwhelming nature of creative or labor-intensive pursuits.","A rustic and vibrant background features earthy greens and yellows, with floral and natural motifs representing growth, balance, and the cyclical nature of work.","Historical and detailed, with a hand-drawn aesthetic reflecting a traditional printmaking influence. The earthy tones enhance the grounded, labor-intensive theme of the card.","The card title, 'The 6 of Inking Balls,' is written prominently at the top in classical typeface. A simple black border frames the illustration.","The card conveys themes of dedication, effort, and the risk of being consumed by work. It serves as a reminder to remain mindful of personal boundaries and balance.","Immersion in work, loss of self in responsibilities, creative and laborious pursuits.","Emerging from hard work, feeling exhausted and scarred, a need for rest and recovery before moving forward.","['Immersion', 'Overwork', 'Creation', 'Exhaustion', 'Balance']","The inking balls signify labor, creativity, and the overwhelming aspects of productivity. The tub represents containment, suggesting the need for boundaries to avoid being consumed by effort.","[""6 of Inking Balls"", ""Six of Inking Balls"", ""The 6 of Inking Balls"", ""The Six of Inking Balls""]"
7 of Bells,The card represents transformation and a loss of identity as 1 becomes what others expect or need them to be. It warns of losing oneself to external demands but also offers hope for reclaiming identity through self-reflection and change.,"A humanoid figure, ethereal and abstract, stands amidst 7 large bells, symbolizing transformation and external control.","The bells surrounding the figure emphasize the theme of external expectations. 2 small, whimsical creatures at the base observe the transformation, adding a playful yet surreal touch.","A golden, textured backdrop adorned with ornate floral elements provides a mystical and historical atmosphere.","Intricate and vintage, with a hand-drawn, historical aesthetic. The muted yellow and earthy tones evoke a sense of antiquity and depth.","The card’s title, 'The 7 of Bells,' is written at the top in a classical typeface. The ornate border complements the card’s vintage design.","The card embodies themes of transformation, identity, and reclaiming individuality. It reflects the tension between societal demands and personal freedom.","Transformation, loss of identity, prioritizing others' needs over your own.","Catharsis, stepping away from struggles, and finding moments of frivolity and freedom to rediscover yourself.","['Transformation', 'Identity', 'Freedom', 'Self-Discovery']","The bells signify external influences and the toll they take on individuality. The humanoid figure represents the loss of self amidst these demands, while the whimsical creatures suggest the possibility of reclaiming joy and authenticity.","[""The 7 Bells"", ""7 of Bells"", ""7 Bells"", ""The 7 Of Bells"", ""Bells Of 7"", ""7 Of Bells"", ""The Seven of Bells"", ""Seven of Bells"", ""Bells 7"", ""The 7 of Bells""]"
9 of Coins,"The card features a grand pedestal piled high with intricately detailed disks resembling coins or plates. The design highlights richness and grandeur, with flames and a bowing figure adding dramatic tension.","A grand, ornate pedestal structure piled high with disks resembling coins or plates, with a radiant disk or halo at the top.","Red flames lick around the pedestal's base and sides, contrasting with the smooth curves of the disks. At the bottom right, a kneeling figure bows in submission or reverence.","The background transitions from a deep black at the base to a pale blue and white sky at the top. A marbled frame surrounds the card, adding a classical and aged feel.","Classical hand-drawn style, emphasizing texture and shading with a sculptural quality in the details.","A textured marbled frame surrounds the card, adding an aged, classical design.","The card feels intense and dramatic, symbolizing power, wealth, and reverence. The contrast between grandeur and vulnerability adds tension.","Abundance, self-sufficiency, and the enjoyment of material wealth and accomplishments.","Financial setbacks, reliance on others, or superficial success without true fulfillment.","['Abundance', 'Self-Sufficiency', 'Wealth', 'Luxury', 'Gratitude']","The towering coins symbolize self-sufficiency and material success, while the kneeling figure represents reverence for earned wealth.","[""The 9 Coins"", ""9 of Coins"", ""The Nine of Coins"", ""Nine of Coins"", ""The 9 Of Coins"", ""9 Of Coins"", ""The 9 of Coins"", ""Coins 9"", ""9 Coins"", ""Coins Of 9""]"
9 of Clocks,"A card depicting numerous clocks, symbolizing different timelines and personal experiences.","A central ornate clock surrounded by multiple smaller clocks, each displaying different times.","An orange frame outlines the design, with the words '9 OF CLOCKS' displayed at the top.","A dark background filled with various clock faces, creating a sense of depth and complexity.","Collage-like with surreal and steampunk influences, featuring intricate details and contrasting colors.",The title '9 OF CLOCKS' is written in an orange banner at the top; no distinct border beyond the framing.,"Themes of personal timelines, individuality, and the relativity of experiences.",Encourages recognizing individual timelines and respecting diverse experiences and perspectives.,"Highlights indifference to time differences, emphasizing the importance of universal truths over context.","['Timelines', 'Individuality', 'Perspective', 'Relativity', 'Truth']",The varied clocks symbolize the multitude of personal experiences and the subjectivity of time.,"[""Clocks 9"", ""9 of Clocks"", ""Nine of Clocks"", ""The 9 of Clocks"", ""The 9 Clocks"", ""Clocks Of 9"", ""The Nine of Clocks"", ""9 Of Clocks"", ""9 Clocks"", ""The 9 Of Clocks""]"
Bone Fire,"The card features a bone, specifically a jawbone, against a dark backdrop. The stark contrast emphasizes themes of destruction, transformation, and enlightenment.","A singular jawbone, etched with fragmented text and faint map-like details, symbolizing transformation and the stripping away of excess.","The text and map-like engravings on the bone, with words such as ""Fire"" and ""Endless,"" alongside the stark black background emphasizing the jawbone's weathered and evocative texture.","Dark and minimalistic, allowing the bone to take center stage. The stark lighting symbolizes clarity emerging from the shadows.","Minimalistic and striking, blending surrealism with symbolic imagery.","The words 'Bone Fire' appear at the bottom in bold, angular lettering.",Encourages introspection and a willingness to let go of unnecessary baggage. The card evokes themes of purification and renewal.,"Represents letting go, transformation, and embracing 1?s core self.",Warns of resistance to change or difficulty releasing the past.,"['Transformation', 'Letting Go', 'Renewal', 'Enlightenment', 'Purification']",The bone and fire imagery represent burning away the unnecessary to reveal what truly matters.,"[""Bone Fire""]"
Dagaz,"This card represents awakening, illumination, and the hope that comes with the dawn. It is a symbol of new beginnings and the light that dispels darkness.","A snowflake-like rune symbol in intricate embroidery, featuring bold lines and geometric symmetry.",The woven patterns and detailed texture surrounding the rune emphasize tradition and craftsmanship.,"A soft, textured backdrop of purples and blues highlights the central rune and its meaning.","Intricate embroidery-style art, with rich textures and a harmonious color palette.","The card title 'Dagaz' is written prominently at the top, with keywords like 'Day,' 'Awakening,' and 'Hope' accompanying it. A clean border frames the design.","The mood is uplifting and hopeful, urging the seeker to embrace the dawn of new possibilities and overcome past darkness.","A time of transition and hope, signifying clarity, growth, and the promise of renewal.","Typically not read in reverse, but if interpreted, it could signify delays in clarity or resistance to change.","['Awakening', 'Illumination', 'Hope', 'Renewal', 'New Beginnings']","The central rune represents the light of day and the breaking of darkness, a metaphor for spiritual awakening.","[""Dagaz""]"
Death (Blood),"The card features a classic tarot style with muted tones, worn edges, and an aged appearance. The art style is hand-drawn, with intricate linework and a slightly sketchy quality.","A skeletal rider clad in weathered plate armor, holding a black and white flag with a bold cross-like symbol, sits atop a pale, ghostly horse with sunken eyes and rib lines.","The rider?s flag waves slightly, and the horse walks solemnly. Bones and remnants of fallen figures are scattered on the ground, while a small crumbling tower is visible in the background.","A barren, desolate landscape with a faint river flowing toward the horizon under a pale yellow or gray sky, evoking dawn or dusk.","Hand-drawn with intricate linework, muted tones, and an aged, sketchy quality.","A thin, pale border with darker edges enhances the aged look. No visible title or text distracts from the artwork.","Themes of mortality, decay, and solemn transformation, reinforced by the skeletal rider, pale horse, and scattered bones.","This is change that hurts. You will bleed; there will be pain. At its kindest, the pain will be minor?maybe just mental and emotional rather than physical, or all 3. The world is kicking you while you?re down, but this is not about stressing over nothing. It?s about surviving change and moving forward.",A chastisement for letting things hurt too badly when they don?t need to. It reflects self-inflicted pain or complicity in the inability to move on. Take a deep breath and reassess your life.,"['Painful change', 'Transformation', 'Survival', 'Self-inflicted struggle']","Themes of inevitable transformation through hardship, the necessity of facing pain to grow, and the consequences of resisting change.","[""Death (Blood"")]; [""Death(blood"")]; [""Death(Blood"")]"
Death (Fire),"A dark, hooded figure stands amidst a fiery, desolate landscape, with flames engulfing the ruins of a distant tower.","A silhouetted hooded figure, representing loss, destruction, and the purging power of fire.",The burning tower in the background signifies the obliteration of the past to clear the way for renewal.,"Flames and ash dominate the scene, creating a mood of devastation and transformation.","Dark and foreboding, with warm, fiery hues and a focus on symbolic imagery.","The Roman numeral 'XIII' glows faintly at the base of the card, with no additional border decorations.","The card evokes themes of complete destruction, emphasizing that renewal can only come after total annihilation.","Embrace the end of a phase, no matter how painful, as it clears the way for growth and renewal. Fire purges all that cannot endure.","Clinging to the past or resisting inevitable change, leading to stagnation and prolonged suffering.","['Destruction', 'Transformation', 'Cleansing', 'Endings', 'Renewal']","The fire represents purification and the death of the old, while the figure embodies acceptance of loss and the cycle of rebirth.","[""Death (Fire"")]; [""Death(fire"")]; [""Death(Fire"")]"
Death (Motel),"The card features a neon motel sign against a dark, starry sky. The sign depicts a glowing skull with sunglasses, surrounded by twinkling lights and bold lettering that reads 'Liminal Motel' with the phrase 'Stay for a good time, not a long time.' The scene emphasizes the transient nature of life.","A stylized neon sign featuring a skull with sunglasses, symbolizing transformation and acceptance of impermanence.",The sign's lights and phrase evoke the idea of embracing moments as temporary yet meaningful.,A starry night sky adds depth and reinforces the theme of timelessness and change.,"Retro and vibrant, blending neon aesthetics with a sense of modern surrealism.","The title 'Death (Motel)' is featured prominently on the guidebook, while the card itself displays the sign's message. The card lacks a formal border, letting the artwork dominate.","The card reflects the inevitability of change and the beauty in transient moments, encouraging acceptance of life's impermanence.","Recognizing the small, everyday changes that lead to personal growth. Embracing the beauty of life's fleeting moments and letting go of what no longer serves you.","Resistance to change, fear of loss, or struggling with the impermanence of life. A reminder to find peace in the present.","['Change', 'Impermanence', 'Acceptance', 'Growth', 'Transition']","The motel sign represents life’s transient nature, while the phrase emphasizes living fully in the moment. The skull symbolizes transformation and the acceptance of mortality.","[""Death (Motel"")]; [""Death(motel"")]; [""Death(Motel"")]"
Death (Rebirth),"The card depicts a hooded figure standing on a dark expanse of water, holding a large curved scythe with a bird skull at its tip. Emerging from the figure's hand is an eagle, symbolizing rebirth and transformation.","A shadowy, hooded figure holding a scythe, representing the transition between endings and beginnings.","An eagle emerging from the figure’s hand symbolizes renewal, growth, and the cycle of life and death.","A serene blue sky and dark water create a contrast between light and shadow, emphasizing transformation.","Mystical and symbolic, blending natural elements with a surreal aesthetic.","The title 'Death' is written in elegant script at the bottom of the card. The card features a white border, framing the artwork.","The card represents the transformative power of endings, urging the seeker to embrace change and the potential for renewal.","The end of something that no longer serves you, making way for growth and new beginnings. Encourages resilience and the courage to rise from the ashes.","Resistance to change, stagnation, or clinging to what has ended. A call to accept transitions and move forward.","['Transformation', 'Renewal', 'Endings', 'Beginnings', 'Growth']","The scythe represents cutting ties with the past, while the eagle symbolizes rising above and being reborn from challenges.","[""Death (Rebirth"")]; [""Death(rebirth"")]; [""Death(Rebirth"")]"
Death (Shovel),"A skeletal figure with a shovel moves through a barren landscape, symbolizing the act of revisiting the past and digging up old wounds or memories.","A skeleton with decayed yet detailed features, holding a red-handled shovel, stepping forward with a determined posture.",The red-handled shovel represents the act of excavation or unearthing. Rocks and barren land around the figure suggest desolation and the remnants of the past.,"A simple, neutral-toned background emphasizes the skeletal figure and shovel. The land is dry and lifeless, adding to the card’s theme of endings and remnants.","A medieval woodcut style with earthy tones and strong linework, consistent with historical tarot designs.","The card features a decorative border resembling braided rope, adding texture and framing the imagery.","The card conveys themes of confronting the past, revisiting unresolved issues, and recognizing the need to move on. It balances a sense of nostalgia with the potential for growth and release.",Coming to peace with change and realizing that some past experiences may still need resolution. It represents the act of revisiting what was thought to be over and correcting or learning from it.,"Clinging to old wounds or bringing up the past unnecessarily, causing ongoing pain or disruption. It suggests the need to stop feeding into unresolved trauma and let it rest.","['Endings', 'Reflection', 'Nostalgia', 'Resolution', 'Letting Go']",The shovel symbolizes digging into the past or resolving buried issues. The skeleton represents transformation and the inevitability of confronting 1’s history.,"[""Death (Shovel"")]; [""Death(shovel"")]; [""Death(Shovel"")]"
Death (Sowing),"The card is illustrated in a traditional tarot style, with delicate hand-drawn linework and a muted, earthy color palette. The overall composition is detailed yet balanced, with a sense of motion and narrative.","A farmer, dressed in rustic clothing, actively working in a field, hunched over while cutting golden wheat stalks with a long scythe.","The field stretches far into the horizon, with a faint farmhouse and trees in the distance. The scythe symbolizes both practicality and the end of a cycle, while the farmer?s effort emphasizes perseverance.","The field blends into a distant horizon under a clear sky with gradients of pale yellow and white, suggesting early morning or late afternoon.","Hand-drawn with muted earthy tones and an aged aesthetic, emphasizing the grounded and rustic theme.","A thin, weathered frame surrounds the card, with no visible title or text, keeping focus on the illustration.","Themes of harvest, labor, and the cyclical nature of endings and beginnings. The scythe highlights transformation and the effort required for change.","This card speaks of literal endings and the transformation they bring. In many cases, it emphasizes ending things to let them seed for the future. Let whatever is ending or changing in your life become seeds for your future. Take up the scythe yourself to cut down the crops if needed, thinking of the future, not just the ending now. The energy gained from letting something go will help you thrive in a new direction.","In reverse, the card reflects unresolved endings. It symbolizes things you have cut down but never made peace with or prepared for. It is a reminder of the burdens of the past that have never been addressed, urging reflection and closure.","['Endings', 'Harvest', 'Transformation', 'Preparation', 'Cycles']","The scythe and wheat emphasize laborious transformation and the necessity of letting go. The imagery of seeds for the future symbolizes growth and renewal following endings, while the reversed interpretation highlights unresolved closures.","[""Death (Sowing"")]; [""Death(sowing"")]; [""Death(Sowing"")]"
Death (dancing),"The card depicts a joyous skeleton in mid-dance, adorned with a red sash, symbolizing celebration and acceptance of change. The skeleton's pose is dynamic, capturing movement and vitality amidst an arid landscape.","A skeleton dancing gracefully, with 1 hand raised and the other clutching a red sash.","A small insect, possibly a beetle, crawls on the ground near the skeleton's feet, symbolizing rebirth and resilience. The background features a barren tree.","The backdrop consists of a dry, golden landscape with a single withered tree, emphasizing the starkness of endings and the beauty of new beginnings.","Vintage-inspired, with bold colors and intricate line work typical of 19th-century oracle decks.","The card features a classic, bordered layout with the words 'Mortalité' and 'La Mort' along the edges.","Themes of joyful acceptance, transition, and finding beauty in endings. The card encourages dancing through the challenges of life and embracing its impermanence.","Celebrations of letting things be finite, accepting change, and living joyfully in the face of endings.","Apathetic grief, numbness to pain, and acting aloof in the face of change, masking true feelings.","['Change', 'Acceptance', 'Celebration', 'Impermanence', 'Vitality']","The dancing skeleton symbolizes life amidst endings. The beetle represents rebirth, and the dry landscape emphasizes the cyclical nature of life.","[""Death (Dancing"")]; [""Death (dancing"")]; [""Death (Dancing"")]; [""Death(dancing"")]; [""Death(Dancing"")]"
Death (riding),"The card depicts a skeletal figure riding a black horse. The skeletal rider is draped in golden-yellow robes, holding a black scythe. The background is intricately decorated with golden filigree patterns and features fallen figures representing mortality and change.","The central figure is a skeleton wearing yellow robes, holding a scythe, and riding a dark horse. The rider symbolizes death as a harbinger of transformation.","Surrounding the rider are figures lying on the ground, dressed in red and blue. These figures represent the inevitability of death sparing no 1, regardless of status or wealth.","The background is rich with golden ornamentation, adding a sense of grandeur and inevitability to the card.","Medieval and ornate, featuring vibrant colors and detailed illustrations, typical of historical tarot cards.","The border contains labels in French, such as 'La Mort' and 'Mortalite,' which reinforce the theme of death.","The mood is solemn yet transformative, signifying the end of a cycle and the necessity of change. The card encourages acceptance of inevitable transitions.","Transformation, endings, letting go of the past, and making way for new beginnings.","Resistance to change, stagnation, and fear of moving forward.","['Transformation', 'Endings', 'Change', 'Cycles', 'Letting Go']","The skeletal rider represents death and the transient nature of life, while the fallen figures signify the equalizing force of mortality.","[""Death (Riding"")]; [""Death (riding"")]; [""Death (Riding"")]; [""Death(riding"")]; [""Death(Riding"")]"
Deconsecration,"This card represents the act of revisiting and reclaiming past pain or actions to heal and move forward. It emphasizes facing difficulties rooted in betrayal, past trauma, or long-standing issues.","A shrouded structure resembling a broken or abandoned religious artifact, adorned with hanging bells and other symbols of desecration.","Bells, mushrooms growing at the base, and a star-filled sky, all suggest decay, reclamation, and a connection between earth and cosmos.","A starry night sky with a crumbled tower in the background, reinforcing themes of destruction and rebirth.","Black-and-white line art with intricate hatching and stippling, evoking a stark, somber tone.","The card title 'DECONSECRATION' is written at the bottom in uppercase letters, framed by a clean border with slight distressing.","The mood is 1 of solemnity and reflection, with strong themes of facing buried pain and the process of healing by reclaiming what was lost or taken.",Revisiting and acknowledging past pain to reclaim control and heal. It signifies addressing unresolved issues and transforming their impact on your present.,Inability to reclaim pain alone; represents larger systemic injustices or traumas beyond personal resolution. Encourages persistence despite the overwhelming challenge.,"['Reclamation', 'Healing', 'Acknowledgment', 'Transformation', 'Systemic Injustice']","The bells symbolize the weight of curses or unresolved issues, the mushrooms signify growth in decay, and the starry sky suggests universal connection and hope amidst darkness.","[""Deconsecration""]"
